image_id,cell_id,x,y,width,height,area,mean,std,min,max
6,2,168,10,131,40,3880,91.18530927835052,34.706247998913376,0.0,190.0
6,3,27,39,148,42,4810,91.28295218295219,24.42852828549478,36.0,174.0
6,4,166,42,134,42,4208,100.88189163498099,34.16481211591853,11.0,180.0
6,5,27,74,145,43,4936,97.44145056726094,28.77966047776001,20.0,186.0
6,6,164,75,139,45,4682,91.62174284493805,26.952016099821183,20.0,182.0
6,7,25,109,147,47,5130,102.81812865497076,29.514457137541914,12.0,200.0
6,8,164,111,140,45,4835,97.2746639089969,30.125237545837614,17.0,200.0
6,9,25,146,145,43,4610,95.44360086767895,26.72370009348781,19.0,203.0
6,10,162,148,140,42,4323,96.80430256766135,32.112255539144215,17.0,202.0
6,11,24,179,145,37,3853,103.34103296132884,31.240915140130582,6.0,209.0
6,12,162,179,138,37,3598,94.11450806003336,29.39103457644777,2.0,197.0
7,1,27,7,140,48,4751,73.47989896863818,25.749084051249696,0.0,188.0
7,2,159,11,136,46,4879,79.35642549702808,35.935765083633164,0.0,202.0
7,3,27,43,140,43,4242,96.85360678925035,23.34308456149088,12.0,151.0
7,4,160,49,135,41,4077,70.40986019131715,16.820468594924314,13.0,167.0
7,5,28,76,140,46,4625,117.22291891891892,19.081612321216717,9.0,172.0
7,6,162,81,131,42,4292,78.02236719478098,16.082251978275746,41.0,175.0
7,7,27,110,145,49,4827,141.16241972239487,24.16254544174715,6.0,197.0
7,8,162,116,131,43,4402,85.31644706951386,17.485037344763924,18.0,169.0
7,9,28,145,143,46,4583,146.35457124154485,25.862831668434392,7.0,226.0
7,10,164,152,129,40,3972,119.79305135951661,29.283710866438096,5.0,213.0
7,11,28,180,143,39,3955,153.91554993678886,31.16730999068326,2.0,233.0
7,12,164,183,130,34,3109,115.96719202315857,34.51335463245091,4.0,197.0
8,1,26,15,140,41,4190,87.99880668257757,35.64993211317303,2.0,212.0
8,2,158,19,142,40,4185,162.71135005973716,60.062864937774755,3.0,237.0
8,3,26,48,140,39,4084,89.94147894221352,21.253904483531965,13.0,178.0
8,4,159,49,139,42,4132,70.77516940948694,32.1539591520748,13.0,212.0
8,5,26,79,140,42,4462,120.28574630210667,22.995978608282375,4.0,167.0
8,6,159,81,137,39,4038,62.394006934125805,9.990264391255279,38.0,128.0
8,7,26,113,141,43,4647,125.67032494082204,22.89869221097482,11.0,188.0
8,8,159,113,137,43,4419,73.16904276985743,18.37356398737889,27.0,180.0
8,9,27,148,141,41,4537,118.30681066784219,17.305224007451145,6.0,170.0
8,10,161,146,134,43,4228,93.58751182592242,31.629389994212065,16.0,197.0
8,11,28,182,141,38,3997,135.24193144858643,31.559019976525146,2.0,213.0
8,12,162,179,134,38,3683,94.20282378495791,30.39445396947054,2.0,180.0
9,1,24,10,151,48,5010,149.30838323353294,36.70546998102303,0.0,216.0
9,2,166,20,146,42,4556,109.15364354697103,46.66338099496993,0.0,182.0
9,3,23,46,153,45,4937,141.12072108567955,11.572739810051354,65.0,186.0
9,4,168,52,144,43,4529,145.04261426363436,12.118688594825818,46.0,169.0
9,5,24,80,154,45,5044,123.31641554321966,23.09487637955053,14.0,178.0
9,6,171,85,139,39,3824,115.04994769874477,21.49803837011542,33.0,153.0
9,7,25,116,154,43,4921,105.22007722007721,29.257903634583293,4.0,165.0
9,8,171,115,135,42,3969,119.57117661879566,22.147619346838933,17.0,169.0
9,9,25,150,151,43,4919,88.53323846310225,21.46875789760662,11.0,156.0
9,10,169,145,135,47,4453,115.90253761509095,26.8877936508715,9.0,174.0
9,11,26,184,150,37,4019,74.82707141079871,24.40103489126524,4.0,168.0
9,12,168,178,133,41,3533,76.3897537503538,26.70455769993176,0.0,162.0
10,1,22,0,137,39,3088,64.02655440414507,24.753812592584637,0.0,119.0
10,2,153,0,137,28,1902,106.15089379600421,31.874686394453626,0.0,171.0
10,3,20,17,143,59,4913,85.36454304905354,16.63778278125041,32.0,115.0
10,4,155,12,138,41,3696,113.86742424242425,30.367130560421707,36.0,182.0
10,5,19,50,147,69,6448,101.14857320099256,23.77611424068451,37.0,180.0
10,6,153,41,142,73,5543,78.38156233086777,23.888338459488576,32.0,160.0
10,7,21,110,148,47,5269,81.59176314291138,25.872590587943346,23.0,180.0
10,8,158,80,143,77,8305,84.79385912101144,26.32502600564896,18.0,199.0
10,9,23,148,146,42,4567,78.5778410335012,26.11774587009611,16.0,177.0
10,10,161,144,141,47,4541,71.77604051970931,43.87378855811147,9.0,202.0
10,11,24,181,145,35,3470,68.24265129682998,42.940477829179905,3.0,189.0
10,12,162,179,142,36,3398,68.92760447321955,36.553307081485954,2.0,193.0
11,1,25,13,138,44,4627,67.08644910309056,20.30934005220552,0.0,156.0
11,2,155,17,141,42,4533,70.00551511140524,22.274825466762294,3.0,158.0
11,3,22,50,142,40,4391,71.95171942609883,6.346729531815492,16.0,109.0
11,4,157,52,138,40,4275,72.33543859649123,9.066318118334353,15.0,142.0
11,5,21,83,143,44,4891,94.66080556123492,12.895664196374257,11.0,142.0
11,6,157,84,139,44,4644,84.25968992248062,10.252988618663645,38.0,129.0
11,7,22,118,142,46,4801,127.78900229118933,24.001185745030593,15.0,217.0
11,8,158,119,138,45,4619,99.52911885689544,12.69863892342067,26.0,131.0
11,9,24,153,142,42,4173,174.64414090582315,33.49081138847935,44.0,225.0
11,10,159,152,136,44,4138,97.66529724504592,17.221900900719895,22.0,168.0
11,11,25,184,142,35,3277,183.43057674702473,32.555032893239016,2.0,236.0
11,12,161,185,133,33,2944,71.72758152173913,28.01946092177034,4.0,171.0
12,1,28,13,146,44,4946,98.98766680145572,35.33422605446957,1.0,217.0
12,2,167,15,131,43,4253,92.75358570420879,29.86281730630172,3.0,214.0
12,3,28,48,146,40,4415,94.27225368063421,25.85179798210046,5.0,216.0
12,4,167,51,131,39,3865,90.06106080206986,12.375283023937854,21.0,160.0
12,5,26,79,148,44,4729,105.59145696764644,25.95524840211429,20.0,216.0
12,6,167,82,130,41,4059,100.30327666913033,17.012376597119303,10.0,154.0
12,7,25,112,149,44,4683,115.82084134102071,22.202957433373484,6.0,221.0
12,8,166,116,130,40,4089,111.15798483736855,15.175696723480506,2.0,169.0
12,9,25,146,147,42,4538,118.18554429263993,24.935747187827527,13.0,236.0
12,10,164,148,130,40,3850,111.97194805194805,13.44940466397986,12.0,181.0
12,11,25,179,145,37,4062,115.09281142294437,27.937161367110686,4.0,239.0
12,12,162,179,133,37,3601,100.84948625381838,21.202992809228487,4.0,158.0
13,1,27,11,149,43,4717,124.63663345346619,44.40689437841433,0.0,237.0
13,2,169,17,146,43,4391,148.37827374174447,40.9824317258084,0.0,240.0
13,3,27,45,150,41,4574,142.67009182334937,27.992265658944227,40.0,232.0
13,4,170,49,143,42,4229,138.288011350201,27.71242554735213,36.0,233.0
13,5,28,78,150,42,4939,134.8659647701964,27.136548031243926,18.0,204.0
13,6,171,81,137,40,4134,143.9245283018868,30.00699181880909,9.0,240.0
13,7,29,113,150,42,4949,139.95312184279652,23.280507762474336,29.0,227.0
13,8,172,114,133,41,4250,144.32047058823528,26.35370057309208,27.0,227.0
13,9,29,147,149,41,4721,141.3488667655158,22.71871231164242,11.0,235.0
13,10,170,148,130,41,3967,147.1290647844719,23.43668115157611,6.0,241.0
13,11,29,180,148,39,4221,128.93721866856194,29.588604495294383,5.0,230.0
13,12,167,179,130,38,3470,140.8328530259366,29.695831001875387,2.0,229.0
14,1,26,13,146,47,5136,115.31834112149532,33.42771445237925,1.0,232.0
14,2,165,19,137,48,5059,134.769915002965,40.87011274811189,1.0,242.0
14,3,26,51,148,47,5021,137.22903804023102,22.92255783911601,16.0,221.0
14,4,166,56,135,47,4588,136.15932868352223,23.99992975656471,4.0,219.0
14,5,27,86,147,49,5051,163.10829538705207,18.142432154235873,9.0,218.0
14,6,167,93,132,44,4413,138.13256288239293,31.903283520174504,10.0,215.0
14,7,28,121,147,51,4992,175.5841346153846,22.99503788908251,15.0,244.0
14,8,167,129,130,43,4311,147.42217582927395,26.619711792229275,6.0,227.0
14,9,29,156,146,50,4714,186.44272380144253,15.027559433163638,54.0,240.0
14,10,168,164,127,42,3798,169.9670879410216,25.07002770436413,48.0,236.0
14,11,29,190,145,32,2808,177.57407407407408,45.63109457632842,1.0,242.0
14,12,167,193,128,27,1927,152.50700570835497,51.98552578595117,1.0,239.0
15,1,29,6,137,32,2589,144.29161838547702,35.62519380182946,0.0,203.0
15,2,159,7,132,27,2180,87.92798165137614,39.39773484104344,0.0,161.0
15,3,29,24,139,47,4214,128.8955861414333,20.122100341192354,61.0,190.0
15,4,161,23,131,38,3237,136.14426938523323,17.84496812275554,65.0,174.0
15,5,29,55,244,53,5224,120.85279479326186,20.516538911618312,51.0,184.0
15,6,161,50,132,53,5354,114.25887187149794,20.785109337886976,44.0,167.0
15,7,27,95,252,52,7234,100.16933923140725,19.578971610168782,10.0,169.0
15,8,165,94,128,51,3383,98.4342299733964,21.327985804372126,33.0,176.0
15,9,27,139,145,47,5297,85.38436851047763,19.110320429930454,14.0,177.0
15,10,164,135,131,51,4957,90.18438571716764,19.76286424581235,18.0,187.0
15,11,27,176,144,44,4629,83.2097645279758,21.619769036397077,8.0,197.0
15,12,163,175,132,43,4192,86.48687977099236,23.302827605775146,0.0,202.0
16,1,27,3,141,44,4554,158.90447957839262,56.26474031940091,0.0,244.0
16,2,161,4,132,44,4352,137.2428768382353,38.74420698865424,0.0,228.0
16,3,26,37,142,41,4291,135.36867862969004,37.79099247426728,50.0,229.0
16,4,160,39,134,41,4090,126.97897310513447,16.990923736219717,16.0,189.0
16,5,25,69,144,43,4603,126.32565718009994,37.98799460437367,54.0,190.0
16,6,161,72,132,41,4132,140.71006776379477,20.228634236493093,75.0,224.0
16,7,26,102,141,46,4695,140.65367412140574,33.437306026617314,0.0,210.0
16,8,159,106,134,45,4564,147.9421560035057,19.941713539962684,65.0,211.0
16,9,30,138,134,47,4665,150.95691318327974,28.466826331785537,0.0,233.0
16,10,156,142,136,46,4893,156.31657469854895,19.244087191754456,37.0,226.0
16,11,27,174,137,48,4716,144.49554707379136,26.95576004640763,11.0,213.0
16,12,156,179,135,44,4611,156.51181956191715,24.108840646495743,1.0,218.0
17,1,28,0,132,32,2798,108.12580414581844,29.621991358284163,0.0,166.0
17,2,153,0,136,29,2356,52.56918505942275,27.07241846623449,0.0,90.0
17,3,29,20,133,47,4303,87.30745991168952,13.802163054457614,29.0,149.0
17,4,154,16,138,44,4203,86.79490839876279,10.057687651943299,13.0,111.0
17,5,29,54,134,53,5209,79.56594355922442,10.411402981080006,24.0,130.0
17,6,154,49,139,52,5507,83.01616124931905,11.30354064747877,4.0,118.0
17,7,26,95,142,52,5409,77.2547605842115,11.194022748665647,4.0,122.0
17,8,157,91,138,54,5454,84.04767143381005,11.751722056452731,23.0,128.0
17,9,27,139,140,46,5138,76.14538731023745,9.19471046848728,11.0,134.0
17,10,160,132,136,54,5315,81.993979303857,12.258978757483415,21.0,146.0
17,11,28,178,141,41,4450,75.8047191011236,13.603496748906155,6.0,142.0
